"pub_date","lead_paragraph","main"
"2019-11-10T21:15:53+0000","OAKWOOD VILLAGE, Ohio — As a group of prominent black pastors listened, the top federal prosecutor in northern Ohio, Justin E. Herdman, spoke recently at Mount Zion church about the prospect that a gunman could target one of their congregations.","The F.B.I.’s New Approach to Combating Domestic Terrorism: Straight Talk"
"2019-11-01T07:00:06+0000","CHENGDU, China — With a neon-red backpack and white Adidas shoes, he looks like any other undergraduate on the campus of Sichuan University in southwestern China.","Professors, Beware. In China, Student Spies Might Be Watching."
"2019-11-27T00:46:25+0000","As the life expectancy of Americans has declined over a period of three years — a drop driven by higher death rates among people in the prime of life — the focus has been on the plight of white Americans in rural areas who were dying from so-called deaths of despair: drug overdoses, alcoholism and suicide.","It’s Not Just Poor White People Driving a Decline in Life Expectancy"
"2019-12-29T20:13:09+0000","[Update: The suspect was charged with federal hate crimes.]","Intruder Screamed ‘I’ll Get You’ in Attack on Jews at Rabbi’s Home"
"2019-11-07T18:57:36+0000","WASHINGTON — The top American diplomat on the ground in northern Syria has criticized the Trump administration for not trying harder to prevent Turkey’s military offensive there last month — and said Turkish-backed militia fighters committed “war crimes and ethnic cleansing.”","U.S. Envoy in Syria Says Not Enough Was Done to Avert Turkish Attack"
"2019-12-07T08:00:28+0000","SHIREBROOK, England — There used to be a mine at the edge of this small town near the center of England. Now there is only a warehouse.","Splintered Isle: A Journey Through Brexit Britain"
"2019-11-30T17:34:51+0000","MUNICH — When German researchers began working on a new Latin dictionary in the 1890s, they thought they might finish in 15 or 20 years.","Latin Dictionary’s Journey: A to Zythum in 125 Years (and Counting)"
"2019-12-27T18:30:11+0000","WASHINGTON — In a rare show of bipartisan unity, Republicans and Democrats are planning to try to force President Trump to take a more active stand on human rights in China, preparing veto-proof legislation that would punish top Chinese officials for detaining more than one million Muslims in internment camps. ","Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond"
"2019-11-29T14:19:50+0000","About 80,000 babies and toddlers die of AIDS each year, mostly in Africa, in part because their medicines come in hard pills or bitter syrups that are very difficult for small children to swallow or keep down.","New Strawberry-Flavored H.I.V. Drugs for Babies Are Offered at $1 a Day"
"2019-12-10T00:58:38+0000","WASHINGTON — President Trump and his allies spent months promising that a report on the origins of the F.B.I.’s Russia investigation would be a kind of Rosetta Stone for Trump-era conspiracy enthusiasts — the key to unlocking the secrets of a government plot to keep Mr. Trump from being elected in 2016.","Another Inquiry Doesn’t Back Up Trump’s Charges. So, on to the Next."
"2019-11-01T12:38:28+0000","WASHINGTON — Senator Elizabeth Warren on Friday revealed her plan to pay for an expansive transformation of the nation’s health care system, proposing huge tax increases on businesses and wealthy Americans to help cover $20.5 trillion in new federal spending. ","Elizabeth Warren Proposes $20.5 Trillion Health Care Plan"
"2019-11-06T01:00:21+0000","MEXICO CITY — The women and their children were taking a drive along a familiar rural road in northern Mexico when the gunmen attacked, riddling the three-car convoy with bullets.","Mormon Family Massacre Stuns Mexico, Laying Bare Government’s Helplessness"
"2019-11-10T10:00:10+0000","“Yes, billionaires will have to pay a little more,” Senator Elizabeth Warren said of the revised tax package she introduced recently, “six cents on each dollar.” ","Warren Would Take Billionaires Down a Few Billion Pegs"
"2019-11-24T22:33:15+0000","WASHINGTON — Defense Secretary Mark T. Esper demanded the resignation of the Navy’s top civilian leader on Sunday, an abrupt move aimed at ending an extraordinary dispute between President Trump and his own senior military leadership over the fate of a SEAL commando in a war crimes case.","Esper Demands Resignation of Navy Secretary Over SEAL Case"
"2019-11-06T19:15:27+0000","RICHMOND, Va. — For the second Election Day in as many years, suburban voters demonstrated enormous political power in electing or aiding Democratic candidates in historically Republican areas, underscoring the drift of many moderate voters from the G.O.P. in the era of President Trump. ","The G.O.P.’s Election Day Problem in the Suburbs Is Getting Worse"
"2019-12-13T01:50:25+0000","LONDON — Prime Minister Boris Johnson and his Conservative Party won a commanding majority in the British Parliament, a striking victory that redraws the lines in British politics and paves the way for the country’s exit from the European Union early next year.","Conservatives Win Commanding Majority in U.K. Vote: ‘Brexit Will Happen’"
"2019-11-01T20:24:07+0000","On Sept. 10, Wine & Spirits magazine posted an image of its October cover on Instagram. Behind the bold type — “BEST NEW SOMMS” — was the smiling face of Anthony Cailan, a sommelier named by his peers as a future leader of the $300 billion global wine business.","A Celebrity Sommelier Is Accused of Sexual Assault"
"2019-11-11T05:01:16+0000","LA PAZ, Bolivia — Evo Morales, the former president of Bolivia who resigned under pressure from street protests and the military, was granted asylum in Mexico on Monday, departing from the country at a time when it is deeply polarized and leaderless. ","Evo Morales of Bolivia Accepts Asylum in Mexico"
"2019-12-04T18:49:57+0000","WASHINGTON — Are House Democrats making a mistake by moving swiftly to impeach President Trump when some facts remain hidden about whether he abused his power in the Ukraine affair?","Trump Blocked Key Impeachment Witnesses. Should Congress Wait?"
"2019-11-25T16:03:43+0000","Retailers are trying everything they can to keep up with Amazon. Macy’s offers same-day delivery and in-store returns for online purchases. Black Friday deals are already starting at Kohl’s. And craft cocktails are served in the women’s shoe department at Nordstrom.","Chasing Amazon, Retailers Are in a Never-Ending Arms Race"
"2019-12-20T23:35:54+0000","For years, there wasn’t much confusion about who could join the International Brotherhood of Real Bearded Santas, the largest membership organization of Santas in the world. It was open only to men with whiskers long enough to be styled like St. Nick’s, which could withstand a firm tug from a formidable toddler.","Who Gets to Join a Santa Society? Debate Over Inclusion Divides a Bearded Brotherhood"
"2019-12-30T20:55:04+0000","WHITE SETTLEMENT, Texas — Midway through a Sunday church service in the suburbs of Fort Worth, an all-too-familiar scene began to unfold: A man in a trench coat rose from the pews, pulled out a shotgun and opened fire, prompting terrified churchgoers to dive for cover.","Inside a Texas Church, Guns, Bibles and a Spirited Firearms Debate"
"2019-11-11T20:01:56+0000","WASHINGTON — Like every presidential conversation with a foreign leader, this one had scripted talking points and a predigested news release recounting an exchange yet to take place. Aides in the White House Situation Room clustered around a speaker phone, pens and pads in hand to document what they heard.","Trump, Ukraine and Impeachment: The Inside Story of How We Got Here"
"2019-12-29T20:38:33+0000","WASHINGTON — Deep into a long flight to Japan aboard Air Force One with President Trump, Mick Mulvaney, the acting White House chief of staff, dashed off an email to an aide back in Washington.","Behind the Ukraine Aid Freeze: 84 Days of Conflict and Confusion"
"2019-12-08T21:24:43+0000","WASHINGTON — The United States has spent two years chipping away at the World Trade Organization, criticizing it as unfair, starving it of personnel and disregarding its authority, as President Trump seeks to upend the global trade system. ","Trump Cripples W.T.O. as Trade War Rages"
"2019-12-23T14:08:55+0000","Boeing said on Monday that it had fired its chief executive, Dennis A. Muilenburg, who was unable to stabilize the company after two crashes involving its best-selling 737 Max plane killed 346 people and set off the worst crisis in the manufacturing giant’s 103-year history. ","Boeing Fires C.E.O. Dennis Muilenburg"
"2019-12-11T19:23:19+0000","After two years of legal wrangling, Harvey Weinstein and the board of his bankrupt film studio have reached a tentative $25 million settlement agreement with dozens of his alleged sexual misconduct victims, a deal that would not require the Hollywood producer to admit wrongdoing or pay anything to his accusers himself, according to lawyers involved in the negotiations.","Weinstein and His Accusers Reach Tentative $25 Million Deal"
"2019-12-15T19:38:01+0000","WASHINGTON — As the House prepared to make President Trump only the third president in American history to be impeached, the Senate’s top Democrat on Sunday laid out a detailed proposal for a Senate trial “in which all of the facts can be considered fully and fairly” — including subpoenas for documents the White House has withheld and witnesses it has prevented from testifying.","Schumer, Pushing McConnell to Negotiate, Lays Out Plan for Impeachment Trial"
"2019-11-10T20:57:40+0000","President Evo Morales of Bolivia, who came to power more than a decade ago as part of a leftist wave sweeping Latin America, resigned on Sunday after unrelenting protests by an infuriated population that accused him of undermining democracy to extend his rule.","Bolivian Leader Evo Morales Steps Down"
"2019-11-23T17:29:51+0000","WASHINGTON — When it was all over and the witnesses had testified and the speeches were done, President Trump pronounced himself satisfied with the show. “We had a tremendous week with the hoax,” he declared on Friday as he addressed a room of collegiate athletes. “That’s really worked out incredibly well.”","A Split Decision From Congress Will Leave Voters With Final Say on Trump"
"2019-11-27T10:01:16+0000","ST. CROIX, U.S. Virgin Islands — More than two years after back-to-back hurricanes ravaged this tropical island, medical workers are still treating gunshot wounds in hallways and kidney failure in a trailer. They ignore their own inflamed rashes that they say are caused by the mold that has shut down an entire hospital floor below a still-porous roof.","FEMA’s Hurricane Aid to Puerto Rico and the Virgin Islands Has Stalled"
"2019-12-03T20:28:11+0000","LONDON — President Trump has always relished throwing European leaders off balance, antagonizing allies, embracing insurgents and setting off a frantic contest for how best to deal with him. Now, as Europe undergoes dizzying political changes of its own, it is throwing Mr. Trump off balance.","For Trump and Europe, a Surprising Role Reversal"
"2019-12-25T20:49:23+0000","CRESTON, Iowa — The voters at campaign events for Joseph R. Biden Jr. here in Iowa and across the country aren’t just shopping for a candidate for themselves. ","The ‘But I Would Vote for Joe Biden’ Republicans"
"2019-12-31T23:17:09+0000","A year ago, Navy SEAL Chief Petty Officer Edward Gallagher was wearing a Navy uniform at a brig near San Diego, facing murder charges that could have sent him to prison for the rest of his life. Now he is modeling his own lifestyle clothing brand, endorsing nutrition supplements and positioning himself as a conservative influencer with close ties to the man who helped clear him — President Trump.","From the Brig to Mar-a-Lago, Former Navy SEAL Capitalizes on Newfound Fame"
"2019-11-23T10:00:27+0000","SAN FRANCISCO — In the face of mounting investigations, subpoenas and lawsuits, Juul Labs has insisted that it never marketed or knowingly sold its trendy e-cigarettes and flavored nicotine pods to teenagers.","How Juul Hooked a Generation on Nicotine"
"2019-12-08T17:36:34+0000","Sometimes he stood 8 feet 2 inches tall. Sometimes he lived in a garbage can. He often cited numbers and letters of the alphabet, and for nearly a half century on “Sesame Street” he was Big Bird and Oscar the Grouch, opening magic doors for children on the secrets of growing up and the gentle arts of friendship.","Caroll Spinney, Big Bird’s Alter Ego on ‘Sesame Street,’ Is Dead at 85"
"2019-12-16T22:55:33+0000","MONROE, La. — With two children and a third on the way, Ciera Dismuke worked five jobs last year while earning just under $15,000. Although the Trump administration often boasts that it doubled the federal child tax credit to $2,000 per child, Ms. Dismuke, like millions of Americans, earned too little to fully qualify. Instead, she got $934 a child, an increase of just $75.","The Tax Break for Children, Except the Ones Who Need It Most"
"2019-12-28T10:00:22+0000","HOTAN, China — The first grader was a good student and beloved by her classmates, but she was inconsolable, and it was no mystery to her teacher why.","In China’s Crackdown on Muslims, Children Have Not Been Spared"
"2019-12-03T18:10:35+0000","Senator Kamala Harris of California dropped out of the Democratic presidential race on Tuesday after months of low poll numbers and a series of missteps that crippled her campaign, a deflating comedown for a barrier-breaking candidate who was seeking to become the first black woman to win a major party’s presidential nomination. ","Kamala Harris Says She’s Still ‘in This Fight,’ but Out of the 2020 Race"
"2019-11-14T11:25:29+0000","CONCORD, N.H. — There is almost no campaign staff or ground operation. Some volunteers mobilized on one day’s notice. The announcement video was not finished until the middle of the night, and an email with instructions for Day 1 was sent to a small inner circle at 2:48 a.m.","Deval Patrick Makes a Late Bid in the 2020 Presidential Campaign"
"2019-11-02T14:34:11+0000","SANTA ROSA, Calif. — For the past three years, countries and companies around the world have looked to California as a counterweight to the Trump administration’s aggressive dismantling of efforts to combat climate change.","Trump Stymies California Climate Efforts Even as State Burns"
"2019-11-15T23:48:46+0000","President Trump cleared three members of the armed services on Friday who have been accused or convicted of war crimes, overruling military leaders who had sought to punish them. All three have been championed by conservative lawmakers and commentators, who have portrayed them as war heroes unfairly prosecuted for actions taken in the heat and confusion of battle.","Trump Clears Three Service Members in War Crimes Cases"
"2019-12-11T06:19:28+0000","THE HAGUE — “Intercommunal violence.” Action against “insurgents or terrorists.” Possible — only possible — use of “disproportionate force.” But not genocide.","Aung San Suu Kyi Defends Myanmar Against Rohingya Genocide Accusations"
"2019-11-26T08:00:08+0000","With world leaders gathering in Madrid next week for their annual bargaining session over how to avert a climate catastrophe, the latest assessment issued by the United Nations said Tuesday that greenhouse gas emissions are still rising dangerously.","‘Bleak’ U.N. Report on a Planet in Peril Looms Over New Climate Talks"
"2019-12-22T16:13:09+0000","Michael R. Bloomberg was not entirely picky.","How a String of Flukes Helped Pave the Way for Mayor Michael Bloomberg"
"2019-11-27T10:00:36+0000","BURLINGTON, Vt. — The young woman on the political leaflet was smiling, but the message printed beside her in bold capital letters was severe. “The last two years,” it said, “have shown that those who made the revolution are not always the best to lead after the coup.”","Bernie Sanders vs. The Machine"
"2019-12-02T20:30:10+0000","WASHINGTON — House Democrats pressed forward on Monday with the next phase of their impeachment inquiry, putting the final touches on an Intelligence Committee report expected to form the basis of their case that President Trump’s effort to pressure Ukraine to announce investigations of his political rivals was an abuse of power that warrants his removal from office.","Democrats Ready Impeachment Report as Republicans Argue Trump Did Nothing Wrong"
"2019-11-05T18:06:40+0000","WASHINGTON — A crucial witness in the impeachment inquiry reversed himself this week and acknowledged to investigators that he had told a top Ukrainian official that the country would most likely have to give President Trump what he wanted — a public pledge for investigations — in order to unlock military aid.","Sondland Updates Impeachment Testimony, Describing Ukraine Quid Pro Quo"
"2019-11-13T18:14:03+0000","Nearly 35,000 people in the United States are dying each year from drug-resistant infections, public health officials said on Wednesday, an alarming problem that New York state underscored by revealing that it had found one particularly new and virulent fungus in 64 hospitals and 103 nursing homes. ","New York Identifies Hospitals and Nursing Homes With Deadly Fungus"
"2019-12-27T22:41:11+0000","Don Imus, who tested the limits of shock radio with his irreverent attacks on celebrities, politicians, racial and ethnic groups, women, gay people and practically anyone whose head stuck up out of the foxhole, died on Friday in College Station, Texas. He was 79.  ","Don Imus, Radio Host Who Pushed Boundaries, Dies at 79"
"2019-12-24T10:00:25+0000","WASHINGTON — Defense Secretary Mark T. Esper is weighing proposals for a major reduction — or even a complete pullout — of American forces from West Africa as the first phase of reviewing global deployments that could reshuffle thousands of troops around the world, according to officials familiar with internal deliberations.","Pentagon Eyes Africa Drawdown as First Step in Global Troop Shift"
"2019-11-28T14:00:06+0000","Boxes began arriving in early November at the Phoenix headquarters of Turning Point USA, a conservative student group with ties to the Trump family.","Donald Trump Jr., Debut Author, Sees Sales Bolstered by G.O.P. Allies"
"2019-12-04T20:41:22+0000","This article was produced in partnership with the Pulitzer Center on Crisis Reporting.","What the C.I.A.’s Torture Program Looked Like to the Tortured"
"2019-11-30T10:00:15+0000","WALPOLE, N.H. — Pete Buttigieg has a nifty politician’s knack for coming off as a soothing, healing figure who projects high-mindedness — even while he’s plainly kicking his opponents in the teeth.","2020 Democratic Candidates Wage Escalating Fight (on the Merits of Fighting)"
"2019-12-30T16:31:33+0000","In his journal, prosecutors said, he referred to Hitler and “Nazi culture.” On his phone, he searched online at least four times for “why did Hitler hate the Jews” and looked for “prominent companies founded by Jews in America.”","Suspect in Monsey Stabbings Searched Online for ‘Hitler,’ Charges Say"
"2019-12-22T19:35:00+0000","WASHINGTON — It is billed as an easy and secure way to chat by video or text message with friends and family, even in a country that has restricted popular messaging services like WhatsApp and Skype.","It Seemed Like a Popular Chat App. It’s Secretly a Spy Tool."
"2019-12-19T08:00:12+0000","On a warm summer evening last year, Lev Parnas stepped aboard a private cruise around New York Harbor for a gathering of some of Rudolph W. Giuliani’s closest friends. ","How 2 Soviet Émigrés Fueled the Trump Impeachment Flames"
"2019-12-03T08:00:08+0000","The performance of American teenagers in reading and math has been stagnant since 2000, according to the latest results of a rigorous international exam, despite a decades-long effort to raise standards and help students compete with peers across the globe. ","‘It Just Isn’t Working’: PISA Test Scores Cast Doubt on U.S. Education Efforts"
"2019-11-03T23:37:17+0000","HOUSTON — A surge of oil production is coming, whether the world needs it or not.","Flood of Oil Is Coming, Complicating Efforts to Fight Global Warming"
"2019-12-17T16:01:14+0000","WASHINGTON — President Trump on Tuesday angrily denounced the looming House votes to impeach him as a “Star Chamber of partisan persecution” by Democrats, describing the effort to remove him from office as an “attempted coup” that would come back to haunt them at the ballot box next year.","Trump Diatribe Belittles Impeachment as ‘Attempted Coup’ on Eve of Votes"
"2019-11-26T22:17:21+0000","WASHINGTON — In 2016, Democrats thought they had found the perfect candidate to win a United States Senate seat in Pennsylvania and put them within striking distance of taking back the majority. But Katie McGinty, an environmental policy expert with degrees in chemistry and law, ran into an overwhelming obstacle: Michael R. Bloomberg’s fortune.","Michael Bloomberg Has Used His Fortune to Help Republicans, Too"
"2019-12-09T14:35:46+0000","WASHINGTON — Prominent American officials concealed pessimistic assessments about the long-running military campaign in Afghanistan, according to thousands of pages of documents published by The Washington Post on Monday. Taken together, the documents paint a stark picture of missteps and failures.","Documents Reveal U.S. Officials Misled Public on War in Afghanistan"
"2019-12-10T01:37:30+0000","WASHINGTON — There are days in Washington lately when it feels like the truth itself is on trial. Monday was one of those days. ","Lies, Damned Lies and Washington"
"2019-12-14T00:34:40+0000","WASHINGTON — It was the rarest of moments in the nation’s capital, a seemingly sincere attempt at persuasion across the partisan breach by the Democratic chairman of the House Judiciary Committee on the eve of the panel’s vote to impeach President Trump.","The Breach Widens as Congress Nears a Partisan Impeachment"
"2019-12-08T00:53:59+0000","PENSACOLA, Fla. — As federal authorities worked on Saturday to piece together clues to last week’s attack at a Florida military training base, new details emerged about the gunman, a Saudi trainee who had apparently shown videos of mass shootings at a dinner party the night before.","Before Florida Shooting, Gunman Showed Off Videos of Mass Attacks"
"2019-12-07T10:00:14+0000","MASON CITY, Iowa — With just under two months until the Iowa caucuses, the already-volatile Democratic presidential race has grown even more unsettled, setting the stage for a marathon nominating contest between the party’s moderate and liberal factions.","As Candidates Jostle for Position, a Long Race May Become a Marathon"
"2019-11-23T02:41:50+0000","WASHINGTON — Over four decades in public life, President Trump has sought to bend business, real-estate and political rivals to his will. Facts that cut against his position have been declared false. Witnesses who have questioned his motives have been declared dishonest. Critics of his behavior are part of a corrupt, shadowy effort aiming to damage him. ","A Senate Trial Could Put Trump’s Use of Aggressive Defense Tactics to Their Biggest Test"
"2019-11-06T19:56:38+0000","WASHINGTON — The top American diplomat in Ukraine identified Rudolph W. Giuliani, President Trump’s personal lawyer, as the instigator behind the drive to get Ukraine’s president to announce investigations into Mr. Trump’s political rivals, telling impeachment investigators last month that Mr. Giuliani was acting on behalf of the president.","Top Ukraine Diplomat Testified Giuliani Spearheaded Pressure for Investigations"
"2019-12-19T01:23:25+0000","BATTLE CREEK, Mich. — President Trump angrily responded to the impeachment he had long been dreading on Wednesday, lashing out at his Democratic accusers in a rambling two-hour speech and calling for their defeat in November. ","Trump, Unbowed, Uses Rally to Strike Back Against Impeachment Vote"
"2019-11-09T01:29:09+0000","WASHINGTON — John R. Bolton, President Trump’s former national security adviser, knows about “many relevant meetings and conversations” connected to a pressure campaign on Ukraine that House impeachment investigators have not yet been informed of, his lawyer told lawmakers on Friday.","Bolton Said to Know of ‘Many Relevant Meetings’ on Ukraine, but Will Not Testify"
"2019-11-19T20:05:40+0000","SYRACUSE, N.Y. — It was an ordinary cram session, around midnight, when the screed appeared on students’ phones. A racist manifesto, sent to a small clutch of people sitting at a Syracuse University library on Tuesday morning, warned of “the great replacement,” a right-wing conspiracy theory that predicts white genocide at the hands of minority groups.","Racist Manifesto Lands on Syracuse Students’ Phones, Deepening Crisis"
"2019-11-24T18:14:00+0000","HONG KONG — Pro-democracy candidates buoyed by months of street protests in Hong Kong won a stunning victory in local elections on Sunday, as record numbers voted in a vivid expression of the city’s aspirations and its anger with the Chinese government. ","Hong Kong Election Results Give Democracy Backers Big Win"
"2019-11-14T01:47:28+0000","WASHINGTON — William B. Taylor Jr. was the witness that Democrats had hoped Robert S. Mueller III would be but was not — the image, at least, of a wise, fatherly figure with Kevlar credibility expressing restrained but unmistakable disapproval of what he found when he turned over the rock.","Behind a Star Witness, Democrats Take Their Impeachment Case to the Public"
"2019-12-09T01:02:31+0000","Not so long ago, it seemed to Rudolph W. Giuliani that he would be presiding over a hefty part of the world.","The Indispensable Man: How Giuliani Led Trump to the Brink of Impeachment"
"2019-11-07T19:12:32+0000","A state judge ordered President Trump to pay $2 million in damages to nonprofit groups on Thursday after the president admitted misusing money raised by the Donald J. Trump Foundation to promote his presidential bid, pay off business debts and purchase a portrait of himself for one of his hotels. ","Trump Ordered to Pay $2 Million to Charities for Misuse of Foundation"
"2019-12-28T09:09:36+0000","MOGADISHU, Somalia — An explosives-laden truck blew up at a busy intersection in the Somali capital on Saturday and killed at least 79 people, the latest sign of resurgent militant activity in a country plagued by an enduring strain of violent extremism.","Somalia Bombing Kills Nearly 80, Raising Fears of Resurgent Militancy"
"2019-12-11T18:03:24+0000","WASHINGTON — When a long-awaited inspector general report about the F.B.I.’s Russia investigation became public this week, partisans across the political spectrum mined it to argue about whether President Trump falsely smeared the F.B.I. or was its victim. But the report was also important for reasons that had nothing to do with Mr. Trump.","We Just Got a Rare Look at National Security Surveillance. It Was Ugly."
"2019-12-16T15:09:56+0000","Boeing next month will temporarily stop making the 737 Max, its most popular passenger jet, the company said on Monday. ","Boeing to Temporarily Shut Down 737 Max Production"
"2019-12-07T00:22:19+0000","WASHINGTON — President Trump was greeted Friday morning with news of a blockbuster jobs report, showing that employers added 266,000 jobs in November and the unemployment rate fell to 3.5 percent, its lowest level since 1969.","With Impeachment Unfolding Amid a Booming Economy, What Will Voters Prioritize?"
"2019-11-14T01:20:35+0000","WASHINGTON — After so much noise, a formal feeling fell upon the Capitol. The civil servants had entered the room.","On Capitol Hill, Old-School Washington Keeps Circus at Bay"
"2019-11-29T13:39:31+0000","BAGHDAD — Pressured by an expanding protest movement and a rising death toll, Prime Minister Adel Abdul Mahdi of Iraq said Friday that he would submit his resignation to Parliament, taking the country into greater uncertainty and possibly months of turmoil ahead. ","Iraq Prime Minister Says He Will Resign Amid Protests"
"2019-11-13T01:21:32+0000","WASHINGTON — The room was charged with electricity the day the House Judiciary Committee opened public hearings into whether to impeach the president of the United States. It felt like the whole world was watching. It felt like the whole world was on edge.","Two Impeachments, but Two Radically Different Accusations"
"2019-12-21T17:31:45+0000","BIRMINGHAM, Mich. — By the summer of 2017, Dave Trott, a two-term Republican congressman, was worried enough about President Trump’s erratic behavior and his flailing attempts to repeal the Affordable Care Act that he criticized the president in a closed-door meeting with fellow G.O.P. lawmakers.","Fear and Loyalty: How Donald Trump Took Over the Republican Party"
"2019-12-14T10:00:25+0000","JOJUTLA, Mexico — The recruits filed into a clearing, where a group of trainers with the stern bearing of drill sergeants stood in a tight row, hiding something.","He Was One of Mexico’s Deadliest Assassins. Then He Turned on His Cartel."
"2019-11-19T21:03:40+0000","WASHINGTON — Two White House national security officials testified before the House’s impeachment inquiry on Tuesday that President Trump’s request to Ukraine’s president to investigate Democratic rivals was inappropriate, and one of them said it validated his “worst fear” that American policy toward that country would veer off course.","Officials Testify Trump Call Was Inappropriate; One ‘Couldn’t Believe’ It"
"2019-12-06T02:06:38+0000","WASHINGTON — Speaker Nancy Pelosi was planning to deliver back-to-back eulogies at funerals here and in South Carolina during a busy weekend of late September travel when she saw an explosive headline in The Wall Street Journal: “Trump Repeatedly Pressed Ukraine to Investigate Biden’s Son.”","Pelosi’s Leap on Impeachment: From No Go to No Choice"
"2019-12-17T22:47:27+0000","TULSA, Okla. — The teenager had pink cheeks from the cold and a matter-of-fact tone as she explained why she had started using methamphetamine after becoming homeless last year.","A New Drug Scourge: Deaths Involving Meth Are Rising Fast"
"2019-11-04T08:00:12+0000","Julia Roberts was making the rounds at Blackstone, and no one at the giant private equity firm was particularly happy to see her.","As Warren Gains in Race, Wall Street Sounds the Alarm"
"2019-11-25T10:00:27+0000","MANAMA, Bahrain — United States troops have resumed large-scale counterterrorism missions against the Islamic State in northern Syria, military officials say, nearly two months after President Trump’s abrupt order to withdraw American troops opened the way for a bloody Turkish cross-border offensive.","U.S. Resumes Large-Scale Operations Against ISIS in Northern Syria"
"2019-11-20T19:29:20+0000","WASHINGTON — An ambassador at the center of the House impeachment inquiry testified on Wednesday that he was following President Trump’s orders, with the full knowledge of other top administration officials, when he pressured the Ukrainians to conduct investigations into Mr. Trump’s political rivals in what he called a clear “quid pro quo.” ","Sondland Says He Followed Trump’s Orders to Pressure Ukraine"
"2019-12-23T08:00:08+0000","WASHINGTON — Whether investigating charges of torture by the C.I.A., rolling up an organized crime network or prosecuting crooked government officials, John H. Durham, the veteran federal prosecutor named by Attorney General William P. Barr to investigate the origins of the Russia inquiry, burnished his reputation for impartiality over the years by keeping his mouth closed about his work. ","Durham Surprises Even Allies With Statement on F.B.I.’s Trump Case"
"2019-11-01T21:07:29+0000","WASHINGTON — Tyler Wade was awarded the Purple Heart while serving in Afghanistan, and says he is “proud of everything” he did during his service. He also believes the conflicts in Iraq and Afghanistan were a mistake, as do a growing number of veterans — from retired generals to those who served across the enlisted ranks, from supporters of President Trump to “resistance” Democrats.","Trump’s Opposition to ‘Endless Wars’ Appeals to Those Who Fought Them"
"2019-12-10T13:45:32+0000","WASHINGTON — President Trump and Attorney General William P. Barr took aim at the F.B.I. on Tuesday, escalating their attacks on the bureau a day after an independent watchdog concluded that former F.B.I. officials had adequate reason in 2016 to open the investigation into the Trump campaign’s ties to Russia.","Trump and Barr Escalate Attacks on F.B.I. Over Report on Russia Inquiry"
"2019-11-15T19:21:05+0000","After Wednesday’s opening impeachment hearings, there were complaints, in some pundit analysis, that the sober testimony of two U.S. diplomats was insufficiently whiz-bang. One write-up from NBC News, seeming to channel a talent scout from the 1930s, said the hearings lacked “pizazz.”","The President Bursts Through the Virtual Courtroom Doors"
